User_ID,Attempt_Number,H_mean_ms,H_median_ms,H_std_ms,F_mean_ms,F_median_ms,F_std_ms,T_total_ms,Drift_Level
DSU-SYN-02,10,105.243,100.356,19.508,98.857,87.723,22.33,2134.858,0.047426
DSU-SYN-02,11,110.882,105.626,24.654,106.676,91.33,26.078,1943.558,0.057324
DSU-SYN-02,12,104.435,99.345,20.817,98.525,91.016,30.114,2086.24,0.069138
DSU-SYN-02,13,102.759,100.539,24.253,97.924,85.28,25.302,1975.628,0.083173
DSU-SYN-02,14,96.749,102.15,25.202,88.786,91.37,28.238,2106.974,0.09975
DSU-SYN-02,15,108.48,100.139,22.206,93.432,94.563,26.779,2128.777,0.119203
DSU-SYN-02,16,109.258,99.691,21.319,98.518,94.252,25.421,2005.006,0.141851
DSU-SYN-02,17,105.493,98.302,22.988,102.876,91.059,26.646,2072.422,0.167982
DSU-SYN-02,18,99.069,98.953,28.299,94.691,81.368,21.506,2064.286,0.197816
DSU-SYN-02,19,105.526,101.377,27.904,86.367,97.116,30.206,1993.401,0.231475
DSU-SYN-02,20,104.147,98.875,22.817,101.271,104.055,31.053,2060.07,0.268941
DSU-SYN-02,21,116.311,103.557,29.638,103.572,97.098,27.546,2318.431,0.310026
DSU-SYN-02,22,111.84,100.64,27.894,102.936,94.26,29.09,2111.383,0.354344
DSU-SYN-02,23,109.822,105.092,26.543,108.69,86.516,28.682,2054.556,0.401312
DSU-SYN-02,24,102.097,105.609,26.151,103.054,104.101,23.865,2109.467,0.450166
DSU-SYN-02,25,107.281,106.565,26.882,102.264,104.457,27.588,2020.467,0.5
DSU-SYN-02,26,101.309,107.634,25.877,108.787,100.94,28.203,2234.189,0.549834
DSU-SYN-02,27,106.426,102.715,23.935,112.216,109.555,26.766,2007.391,0.598688
DSU-SYN-02,28,104.307,105.255,25.504,109.066,103.256,27.263,2270.054,0.645656
DSU-SYN-02,29,110.245,105.906,28.313,103.277,106.249,28.484,2199.575,0.689974
DSU-SYN-02,30,122.306,107.846,32.468,112.042,97.07,28.575,2146.884,0.731059
DSU-SYN-02,31,111.28,113.617,28.89,110.486,111.406,31.452,2334.002,0.768525
DSU-SYN-02,32,118.291,119.055,22.963,113.052,100.953,28.997,2203.557,0.802184
DSU-SYN-02,33,115.351,122.186,27.387,118.099,105.358,29.014,2252.93,0.832018
DSU-SYN-02,34,118.893,119.072,32.058,118.049,110.812,26.057,2254.197,0.858149
DSU-SYN-02,35,121.761,117.983,28.58,122.007,110.672,32.03,2287.398,0.880797
DSU-SYN-02,36,115.631,115.682,20.82,119.414,86.226,24.803,2304.602,0.90025
DSU-SYN-02,37,120.096,108.489,26.447,125.705,105.544,34.788,2277.817,0.916827
DSU-SYN-02,38,120.001,122.638,28.624,111.776,108.07,29.151,2186.63,0.930862
DSU-SYN-02,39,116.894,111.056,30.665,118.258,107.268,29.024,2301.325,0.942676
DSU-SYN-02,40,121.435,109.946,25.798,124.896,106.689,25.789,2319.743,0.952574
DSU-SYN-02,41,120.817,107.44,29.017,122.863,111.574,30.946,2192.855,0.960834
DSU-SYN-02,42,120.279,113.704,27.27,123.824,118.341,33.88,2385.251,0.967705
DSU-SYN-02,43,118.178,117.083,30.422,119.454,110.364,31.478,2290.775,0.973403
DSU-SYN-02,44,115.165,113.332,30.112,118.848,111.715,31.113,2270.1,0.978119
DSU-SYN-02,45,122.663,117.369,25.46,127.57,106.747,25.317,2224.354,0.982014
DSU-SYN-02,46,113.834,115.793,27.878,116.966,113.534,30.318,2320.595,0.985226
DSU-SYN-02,47,121.036,118.661,23.305,116.858,96.787,29.569,2298.941,0.987872
DSU-SYN-02,48,124.254,121.557,29.093,116.09,112.823,28.169,2299.82,0.990048
DSU-SYN-02,49,123.989,112.863,30.609,123.196,104.219,31.931,2349.354,0.991837
DSU-SYN-02,50,119.594,111.866,26.454,115.938,113.233,27.113,2331.521,0.993307
DSU-SYN-03,1,104.548,86.815,30.158,86.426,83.319,28.465,1779.663,0.008163
DSU-SYN-03,2,112.845,88.459,31.004,70.872,100.343,23.651,1848.967,0.009952
DSU-SYN-03,3,107.607,87.606,27.223,74.573,100.333,24.608,1756.581,0.012128
DSU-SYN-03,4,105.303,86.808,25.934,66.423,93.076,28.11,1967.802,0.014774
DSU-SYN-03,5,108.001,95.189,30.541,71.064,94.375,24.981,1779.848,0.017986
DSU-SYN-03,6,108.962,81.092,26.092,75.977,90.197,23.352,1773.885,0.021881
DSU-SYN-03,7,115.064,89.069,28.334,79.519,101.427,26.098,1842.86,0.026597
DSU-SYN-03,8,117.401,93.92,31.537,75.876,95.184,22.143,1825.464,0.032295
DSU-SYN-03,9,104.536,84.42,33.295,77.479,101.128,24.236,1697.817,0.039166
DSU-SYN-03,10,110.262,89.052,30.274,79.421,90.201,25.83,1711.749,0.047426
DSU-SYN-03,11,113.894,88.736,28.25,71.422,91.461,24.316,1907.916,0.057324
DSU-SYN-03,12,111.362,87.714,24.939,67.731,91.224,23.326,1884.186,0.069138
DSU-SYN-03,13,111.283,95.628,30.406,73.629,92.551,25.109,1911.992,0.083173
DSU-SYN-03,14,100.808,79.476,28.975,73.857,97.555,26.352,1769.753,0.09975
DSU-SYN-03,15,117.851,94.985,30.888,79.974,95.44,23.847,1851.333,0.119203
DSU-SYN-03,16,113.716,90.249,34.221,59.991,85.751,22.378,1783.852,0.141851
DSU-SYN-03,17,112.361,83.176,28.204,70.106,109.524,29.96,1788.297,0.167982
DSU-SYN-03,18,112.353,85.503,26.043,75.226,89.389,25.369,1714.055,0.197816
DSU-SYN-03,19,110.967,92.598,31.894,79.173,88.126,27.859,1780.153,0.231475
DSU-SYN-03,20,118.615,92.476,27.721,75.595,98.991,27.412,1837.538,0.268941
DSU-SYN-03,21,123.849,98.307,30.721,82.897,109.223,30.954,1773.772,0.310026
DSU-SYN-03,22,112.356,101.491,28.934,71.436,95.59,27.289,1865.86,0.354344
DSU-SYN-03,23,114.581,91.541,30.029,75.127,113.136,27.18,1949.192,0.401312
DSU-SYN-03,24,116.268,94.862,30.266,65.569,92.155,22.115,1744.29,0.450166
DSU-SYN-03,25,113.633,103.313,32.183,90.319,103.886,28.807,1853.662,0.5
DSU-SYN-03,26,123.127,101.229,31.096,87.029,105.814,25.686,1853.081,0.549834
DSU-SYN-03,27,115.466,98.897,33.595,79.992,103.553,28.691,1989.604,0.598688
DSU-SYN-03,28,129.991,105.695,30.504,95.882,101.147,30.074,1965.181,0.645656
DSU-SYN-03,29,120.969,91.07,32.796,77.399,111.023,31.44,1917.933,0.689974
DSU-SYN-03,30,125.279,97.221,31.855,92.306,105.81,32.17,1952.286,0.731059
DSU-SYN-03,31,129.44,102.009,35.599,85.8,106.493,27.689,1938.758,0.768525
DSU-SYN-03,32,128.36,105.379,35.258,98.445,116.16,27.182,2033.494,0.802184
DSU-SYN-03,33,122.468,102.782,32.421,99.6,110.242,27.7,2099.884,0.832018
DSU-SYN-03,34,115.204,93.065,36.038,90.818,110.086,25.039,2022.543,0.858149
DSU-SYN-03,35,136.482,107.664,34.584,88.319,106.668,23.127,2048.999,0.880797
DSU-SYN-03,36,131.042,96.015,32.601,84.436,103.633,28.665,1890.891,0.90025
DSU-SYN-03,37,130.184,107.961,33.708,76.862,103.778,31.683,1847.313,0.916827
DSU-SYN-03,38,125.628,98.544,36.416,88.004,112.461,30.074,2174.519,0.930862
DSU-SYN-03,39,126.564,106.537,30.75,99.457,105.71,27.308,2047.97,0.942676
DSU-SYN-03,40,119.942,105.979,36.93,94.29,100.938,28.442,2104.439,0.952574
DSU-SYN-03,41,118.515,99.61,36.743,94.335,113.108,33.435,2087.774,0.960834
DSU-SYN-03,42,131.318,118.661,34.051,88.078,113.341,29.912,2020.166,0.967705
DSU-SYN-03,43,122.969,116.759,35.431,88.597,116.383,28.566,2041.044,0.973403
DSU-SYN-03,44,131.028,98.835,35.518,104.572,113.779,27.918,2024.663,0.978119
DSU-SYN-03,45,126.235,104.095,33.711,98.678,100.661,31.03,2034.751,0.982014
DSU-SYN-03,46,130.229,99.788,37.993,100.724,116.882,25.101,2120.331,0.985226
DSU-SYN-03,47,130.416,97.444,34.624,95.496,114.514,29.343,2083.472,0.987872
DSU-SYN-03,48,135.799,111.64,27.527,91.452,110.233,24.528,2070.332,0.990048
DSU-SYN-03,49,134.707,100.109,35.545,87.901,107.225,32.61,2026.297,0.991837
DSU-SYN-03,50,130.801,96.212,39.367,97.044,110.191,30.361,1966.03,0.993307
DSU-SYN-04,1,102.888,111.197,26.757,76.233,72.102,29.433,1886.142,0.008163
DSU-SYN-04,2,100.267,112.806,28.559,76.709,89,23.784,1957.031,0.009952
DSU-SYN-04,3,103.887,108.628,32.86,85.243,81.492,27.783,1854.213,0.012128
DSU-SYN-04,4,96.048,114.889,30.803,80.416,70.249,29.785,1934.693,0.014774
DSU-SYN-04,5,100.426,116.722,26.638,73.825,70.573,23.648,1887.762,0.017986
DSU-SYN-04,6,96.805,110.864,19.946,72.001,82.585,26.092,1897.586,0.021881
DSU-SYN-04,7,90.354,120.343,26.998,81.329,89.909,31.564,1852.299,0.026597
DSU-SYN-04,8,94.444,111.624,28.66,79.083,73.697,31.465,1867.474,0.032295
DSU-SYN-04,9,109.032,113.829,31.883,82.009,81.983,26.015,1817.767,0.039166
DSU-SYN-04,10,99.981,118.467,27.56,72.328,68.209,24.293,1756.274,0.047426
DSU-SYN-04,11,98.408,119.328,27.475,66.702,75.424,27.495,2029.697,0.057324
DSU-SYN-04,12,90.788,111.962,31.831,83.224,80.185,28.238,1909.618,0.069138
DSU-SYN-04,13,102.214,110.12,29.83,72.595,79.056,28.458,1847.591,0.083173
DSU-SYN-04,14,98.511,111.353,25.037,79.076,70.793,28.887,1815.199,0.09975
DSU-SYN-04,15,102.534,108.909,26.396,77.878,85.757,28.988,1886.719,0.119203
DSU-SYN-04,16,101.876,104.688,27.815,94.109,79.053,28.427,1946.704,0.141851
DSU-SYN-04,17,104.331,105.707,23.845,83.961,74.493,31.647,1894.112,0.167982
DSU-SYN-04,18,90.717,109.891,21.322,81.951,78.248,27.431,2000.646,0.197816
DSU-SYN-04,19,106.988,115.985,23.025,87.8,83.384,29.407,2003.926,0.231475
DSU-SYN-04,20,95.846,127.555,26.147,89.415,70.677,26.465,2052.608,0.268941
DSU-SYN-04,21,101.105,122.451,29.339,85.194,89.806,28.372,1834.136,0.310026
DSU-SYN-04,22,99.191,121.805,29.952,77.397,78.163,27.695,1946.5,0.354344
DSU-SYN-04,23,97.173,116.752,27.372,92.461,88.303,28.983,1958.731,0.401312
DSU-SYN-04,24,105.631,116.691,26.566,83.266,80.617,26.644,2012.174,0.450166
DSU-SYN-04,25,109.477,113.735,29.74,88.684,87.471,29.729,1914.028,0.5
DSU-SYN-04,26,100.414,122.715,32.493,77.815,88.493,32.945,2020.018,0.549834
DSU-SYN-04,27,110.356,119.932,29.863,82.449,73.33,32.533,1976.437,0.598688
DSU-SYN-04,28,106.173,117.36,26.866,92.165,83.958,31.318,2091.155,0.645656
DSU-SYN-04,29,110.853,126.283,34.553,87.777,88.892,33.391,2161.29,0.689974
DSU-SYN-04,30,102.879,124.268,34.205,98.135,91.215,30.188,2058.231,0.731059
DSU-SYN-04,31,112.103,125.242,30.887,96.383,86.724,32.22,2300.334,0.768525
DSU-SYN-04,32,102.383,128.73,29.258,100.116,91.745,32.935,2188.721,0.802184
DSU-SYN-04,33,112.767,133.307,25.443,106.851,94.313,33.851,2029.994,0.832018
DSU-SYN-04,34,108.122,128.847,31.39,99.581,99.092,26.853,2191.392,0.858149
DSU-SYN-04,35,112.725,127.506,27.865,101.399,78.554,32.982,2025.572,0.880797
DSU-SYN-04,36,113.301,128.279,34.562,97.737,89.262,30.176,2224.957,0.90025
DSU-SYN-04,37,116.013,127.245,31.129,89.771,96.09,27.113,2193.454,0.916827
DSU-SYN-04,38,114.227,141.361,29.038,98.866,104.829,34.55,2096.304,0.930862
DSU-SYN-04,39,114.917,129.649,32.551,95.55,93.74,27.626,2158.041,0.942676
DSU-SYN-04,40,116.225,128.68,27.857,105.891,96.661,29.847,2131.91,0.952574
DSU-SYN-04,41,106.621,124.838,30.591,107.512,90.802,33.298,2116.348,0.960834
DSU-SYN-04,42,115.487,129.382,34.152,97.084,85.341,28.271,2118.86,0.967705
DSU-SYN-04,43,108.105,132.243,30.833,114.666,84.464,32.259,2078.844,0.973403
DSU-SYN-04,44,111.968,130.984,26.207,101.943,106.402,30.636,2177.402,0.978119
DSU-SYN-04,45,119.63,129.527,30.587,86.953,98.908,31.503,2089.496,0.982014
DSU-SYN-04,46,115.196,127.486,30.734,104.316,87.096,34.418,2063.51,0.985226
DSU-SYN-04,47,111.297,140.067,34.886,101.322,89.537,30.487,2167.271,0.987872
DSU-SYN-04,48,114.837,130.037,32.002,99.498,86.571,30.528,2226.818,0.990048
DSU-SYN-04,49,107.84,129.576,30.038,101.492,92.927,35.521,2198.792,0.991837
DSU-SYN-04,50,108.149,133.906,30.158,97.394,97.171,30.604,2226.272,0.993307
DSU-SYN-05,1,106.227,100.222,37.107,76.096,80.099,22.537,2033.021,0.008163
DSU-SYN-05,2,121.47,98.195,38.933,72.472,68.874,19.398,1839.861,0.009952
DSU-SYN-05,3,104.912,102.667,35.726,84.63,68.077,28.006,1882.918,0.012128
DSU-SYN-05,4,110.579,96.959,43.046,86.352,75.418,17.626,1930.055,0.014774
DSU-SYN-05,5,104.669,110.805,40.819,80.279,59.082,18.548,1964.415,0.017986
DSU-SYN-05,6,116.411,109.11,34.835,81.601,79.872,16.877,1916.887,0.021881
DSU-SYN-05,7,111.801,102.145,34.208,77.941,71.909,20.673,1879.412,0.026597
DSU-SYN-05,8,108.319,103.553,39.973,78.194,71.529,21.298,1786.101,0.032295
DSU-SYN-05,9,113.043,103.872,38.999,85.936,62.407,16.161,1941.792,0.039166
DSU-SYN-05,10,110.771,104.874,37.785,84.34,79.885,22.34,1906.846,0.047426
DSU-SYN-05,11,100.446,108.048,42.043,84.439,69.209,22.856,1988.311,0.057324
DSU-SYN-05,12,118.991,100.034,38.481,85.315,75.068,18.428,1960.641,0.069138
DSU-SYN-05,13,114.343,105.107,39.665,79.588,83.874,19.029,1894.716,0.083173
DSU-SYN-05,14,111.803,109.36,35.454,73.643,63.109,21.432,1862.52,0.09975
DSU-SYN-05,15,110.176,108.622,37.688,83.32,73.929,23.112,1979.896,0.119203
DSU-SYN-05,16,109.046,104.88,42.013,84.791,67.796,23.166,1877.509,0.141851
DSU-SYN-05,17,120.039,111.314,40.256,83.949,75.446,23.333,1935.316,0.167982
DSU-SYN-05,18,114.691,111.09,38.273,79.965,70.131,19.101,1842.233,0.197816
DSU-SYN-05,19,117.768,116.381,43.406,74.646,82.319,25.459,1948.342,0.231475
DSU-SYN-05,20,115.301,97.971,40.693,78.846,79.917,18.158,2029.559,0.268941
DSU-SYN-05,21,120.656,104.834,37.385,73.195,77.943,20.779,1895.313,0.310026
DSU-SYN-05,22,118.596,107.298,37.755,83.778,86.856,23.927,2008.078,0.354344
DSU-SYN-05,23,120.272,104.589,40.756,89.023,78.548,23.705,1976.64,0.401312
DSU-SYN-05,24,120.605,114.032,33.621,96.356,64.058,21.282,2117.7,0.450166
DSU-SYN-05,25,117.366,104.839,38.424,96.472,71.812,25.854,2057.019,0.5
DSU-SYN-05,26,113.888,110.151,38.859,96.604,88.732,18.943,2047.575,0.549834
DSU-SYN-05,27,116.413,120.414,38.267,102.107,85.115,20.541,2043.073,0.598688
DSU-SYN-05,28,117.567,108.419,42.109,86.147,73.172,22.694,1978.373,0.645656
DSU-SYN-05,29,118.612,111.044,39.911,106.495,87.479,24.442,1993.521,0.689974
DSU-SYN-05,30,119.842,117.405,39.729,100.842,80.746,23.286,2089.17,0.731059
DSU-SYN-05,31,124.608,113.801,41.797,94.801,84.305,25.372,2158.121,0.768525
DSU-SYN-05,32,123.949,115.457,44.63,95.543,87.544,24.562,2270.293,0.802184
DSU-SYN-05,33,118.227,121.995,38.052,98.918,99.432,25.647,2172.426,0.832018
DSU-SYN-05,34,122.597,118.772,42.283,93.474,88.765,25.031,2114.616,0.858149
DSU-SYN-05,35,121.776,112.223,44.001,101.96,92.347,27.043,2181.266,0.880797
DSU-SYN-05,36,128.117,120.894,42.891,95.931,104.631,23.582,2134.34,0.90025
DSU-SYN-05,37,128.626,120.932,39.689,106.216,91.112,22.004,2269.139,0.916827
DSU-SYN-05,38,129.837,113.603,47.712,103.742,91.897,28.816,2201.286,0.930862
DSU-SYN-05,39,126.781,116.837,44.782,102.909,92.282,22.915,2202.774,0.942676
DSU-SYN-05,40,126.75,113.649,39.696,103.658,76.781,25.445,2163.183,0.952574
DSU-SYN-05,41,133.789,117.998,45.065,98.067,93.24,26.809,2166.748,0.960834
DSU-SYN-05,42,132.354,115.62,44.186,106.136,96.655,29.787,2147.747,0.967705
DSU-SYN-05,43,120.578,115.719,45.129,103.713,93.422,22.212,2256.578,0.973403
DSU-SYN-05,44,121.435,126.571,50.645,103.028,96.402,23.807,2077.597,0.978119
DSU-SYN-05,45,124.615,115.382,39.903,111.249,94.618,26.005,2183.849,0.982014
DSU-SYN-05,46,126.823,125.727,43.455,104.169,91.869,24.214,2107.96,0.985226
DSU-SYN-05,47,117.846,119.644,43.69,93.327,92.891,25.215,2056.317,0.987872
DSU-SYN-05,48,123.198,123.027,44.527,94.169,94.092,27.645,2262.286,0.990048
DSU-SYN-05,49,127.329,118.683,41.995,103.938,94.348,26.67,2217.659,0.991837
DSU-SYN-05,50,131.926,121.522,45.537,106.388,88.38,20.583,2316.913,0.993307
DSU-SYN-06,1,119.978,88.207,22.055,78.268,86.943,27.47,1998.278,0.008163
DSU-SYN-06,2,113.49,92.821,24.376,76.019,91.635,31.036,1914.654,0.009952
DSU-SYN-06,3,121.213,95.555,24.015,74.369,89.991,30.699,1940.266,0.012128
DSU-SYN-06,4,119.035,92.853,24.041,73.614,89.912,34.295,1865.536,0.014774
DSU-SYN-06,5,120.983,102.299,24.132,87.88,86.549,29.602,1847.247,0.017986
DSU-SYN-06,6,117.184,98.271,26.022,75.853,96.45,28.571,1881.08,0.021881
DSU-SYN-06,7,132.546,99.083,22.131,69.877,83.334,31.169,1880.24,0.026597
DSU-SYN-06,8,119.766,96.896,25.786,69.087,82.65,29.413,1949.524,0.032295
DSU-SYN-06,9,120.915,93.29,25.685,69.856,86.112,26.521,2000.599,0.039166
DSU-SYN-06,10,122.568,100.511,27.15,91.377,79.151,27.07,1868.863,0.047426
DSU-SYN-06,11,115.325,92.277,23.331,67.419,91.614,29.086,1948.637,0.057324
DSU-SYN-06,12,122.331,100.892,23.204,87.705,91.247,24.35,1848.343,0.069138
DSU-SYN-06,13,111.342,98.216,23.902,72.477,102.187,30.438,1973.546,0.083173
DSU-SYN-06,14,115.688,93.432,24.38,76.69,79.315,28.684,1928.678,0.09975
DSU-SYN-06,15,119.618,94.711,23.034,75.019,91.387,30.729,2009.189,0.119203
DSU-SYN-06,16,119.629,96.905,25.588,80.243,88.69,31.288,2008.894,0.141851
DSU-SYN-06,17,128.03,108.548,22.456,77.236,91.885,29.177,1902.714,0.167982
DSU-SYN-06,18,114.681,100.657,22.848,78.325,87.65,26.798,1973.513,0.197816
DSU-SYN-06,19,123.469,103.696,30.398,80.213,95.998,26.995,1877.127,0.231475
DSU-SYN-06,20,131.303,96.856,22.507,79.139,93.295,27.59,1957.102,0.268941
DSU-SYN-06,21,130.275,98.183,21.834,85.933,97.612,28.467,1880.024,0.310026
DSU-SYN-06,22,121.203,102.737,28.45,75.033,95.037,31.892,1837.382,0.354344
DSU-SYN-06,23,130.94,97.944,26.596,83.766,102.991,31.779,1851.751,0.401312
DSU-SYN-06,24,122.727,105.427,25.518,86.227,102.197,32.128,2017.818,0.450166
DSU-SYN-06,25,118.316,103.355,27.29,77.915,102.245,33.087,2056.648,0.5
DSU-SYN-06,26,113.126,100.139,31.209,82.274,87.55,34.114,2063.653,0.549834
DSU-SYN-06,27,134.849,108.794,27.879,88.806,104.616,36.924,2145.345,0.598688
DSU-SYN-06,28,122.268,110.488,29.817,94.878,98.811,34.34,2156.407,0.645656
DSU-SYN-06,29,143.83,105.302,25.912,86.8,99.316,29.389,1911.373,0.689974
DSU-SYN-06,30,129.533,111.638,26.148,101.153,103.159,35.014,2135.385,0.731059
DSU-SYN-06,31,136.513,111.862,30.987,90.7,106.805,32.86,2108.145,0.768525
DSU-SYN-06,32,135.012,122.244,27.054,93.622,112.048,34.936,2139.243,0.802184
DSU-SYN-06,33,121.607,114.192,22.327,100.581,106.115,34.71,2084.226,0.832018
DSU-SYN-06,34,126.232,113.383,27.92,89.387,106.129,39.239,2213.629,0.858149
DSU-SYN-06,35,139.65,116.707,31.814,91.694,93.745,31.944,2218.828,0.880797
DSU-SYN-06,36,129.903,111.955,26.481,102.275,110.959,34.126,2211.355,0.90025
DSU-SYN-06,37,134.864,114.123,25.329,80.509,107.695,33.377,2257.464,0.916827
DSU-SYN-06,38,143.16,121.238,25.865,91.823,109.957,38.956,2280.633,0.930862
DSU-SYN-06,39,141.113,111.662,26.21,98.93,100.707,32.079,2172.536,0.942676
DSU-SYN-06,40,143.659,112.005,22.369,97.441,103.315,32.824,2177.471,0.952574
DSU-SYN-06,41,134.474,117.879,24.675,91.494,111.779,31.217,2073.402,0.960834
DSU-SYN-06,42,139.309,119.667,28.428,82.982,112.048,28.631,2209.695,0.967705
DSU-SYN-06,43,131.632,108.355,27.464,93.772,104.061,34.276,2158.564,0.973403
DSU-SYN-06,44,141.055,115.645,26.848,89.78,98.135,33.551,2166.382,0.978119
DSU-SYN-06,45,124.363,111.63,26.359,104.516,97.881,29.237,2270.07,0.982014
DSU-SYN-06,46,143.066,110.642,27.047,98.83,94.2,28.201,2173.684,0.985226
DSU-SYN-06,47,144.079,112.236,28.892,101.993,120.856,31.423,2192.951,0.987872
DSU-SYN-06,48,145.479,106.843,31.219,89.128,108.874,32.268,2127.721,0.990048
DSU-SYN-06,49,131.485,115.868,31.148,94.499,108.715,34.31,2127.306,0.991837
DSU-SYN-06,50,140.126,118.609,35.175,93.053,105.575,34.811,2253.097,0.993307
DSU-SYN-07,1,94.485,98.917,29.976,83.276,89.029,26.376,1994.369,0.008163
